epoch,accuracy,loss,val_accuracy,val_loss
0,0.8308979868888855,0.5460277199745178,0.845258355140686,0.3470081090927124
1,0.8484326601028442,0.2960416078567505,0.8549738526344299,0.2423451542854309
2,0.8909839987754822,0.20445120334625244,0.9238083362579346,0.19227617979049683
3,0.9429957866668701,0.14658799767494202,0.9484214186668396,0.1280294805765152
4,0.9514261484146118,0.12369535118341446,0.9488969445228577,0.12462073564529419
5,0.9529792666435242,0.120455801486969,0.9509894251823425,0.11997608840465546
6,0.9526103138923645,0.11816737800836563,0.9546324610710144,0.11339404433965683
7,0.9608108997344971,0.1003112643957138,0.9578643441200256,0.1039625033736229
8,0.9612764716148376,0.09893117845058441,0.9594594240188599,0.10174501687288284
9,0.9622120261192322,0.09615671634674072,0.9601902961730957,0.09800729900598526
10,0.9644472002983093,0.0902143120765686,0.9623827338218689,0.09732524305582047
11,0.9652093648910522,0.08820030838251114,0.9613638520240784,0.10159117728471756
12,0.9650920629501343,0.08874431252479553,0.9630782604217529,0.09199436753988266
13,0.9654753804206848,0.08788424730300903,0.9649143218994141,0.08829311281442642
14,0.9660826921463013,0.08657092601060867,0.9639284610748291,0.09085094928741455
15,0.9670819044113159,0.08341702073812485,0.961859405040741,0.09220359474420547
